TIME,PI
50105.53232194483,208
50105.5323292613,36
50105.53237079084,110
50105.532415255904,87
50105.53242279589,158
50105.53243456781,187
50105.532456576824,146
50105.53246834874,134
50105.53250102699,122
50105.532522931695,83
50105.53252321482,422
50105.53256163001,89
50105.53260269761,369
50105.532610967755,51
50105.53262729943,125
50105.5326423496,94
50105.53275372088,61
50105.532815635204,285
50105.53288756311,145
50105.53289371729,96
50105.53291635215,77
50105.53292745352,161
50105.53295251727,166
50105.53303310275,80
50105.533033147454,105
50105.53303991258,120
50105.53315550089,91
50105.533158004284,120
50105.533160701394,71
50105.533162906766,47
50105.533185601234,140
50105.5332082957,307
50105.533252343535,157
50105.53327824175,161
50105.53330695629,39
50105.533311352134,105
50105.5333570987,91
50105.533375144005,74
50105.53340858221,918
50105.5336509794,149
50105.53366342187,200
50105.533765882254,132
50105.53380946815,210
50105.53381255269,59
50105.533880382776,284
50105.53388649225,80
50105.533977523446,315
50105.534058362246,347
50105.53415945172,113
50105.5341860652,81
50105.5342900306,157
50105.53430297971,186
50105.53439556062,105
50105.534406647086,156
50105.53441862762,103
50105.53442686796,76
50105.53442901373,83
50105.53443339467,84
50105.534477725625,322
50105.534547269344,139
50105.534565746784,81
50105.53468643129,79
50105.53468927741,44
50105.5346942395,33
50105.534718737006,121
50105.534777998924,394
50105.5347828567,244
50105.534790068865,74
50105.53479537368,128
50105.53481823206,82
50105.5348200649,161
50105.53497213125,46
50105.53497467935,105
50105.53504668176,42
50105.53506270051,131
50105.53510071337,73
50105.53514805436,54
50105.53515866399,269
50105.53519128263,53
50105.53528055549,217
50105.53529629111,145
50105.53532285988,76
50105.5353705436,99
50105.53546567261,173
50105.53548634052,96
50105.53556095064,414
50105.53556202352,530
50105.53557820618,129
50105.53563161194,241
50105.535888791084,701
50105.53588889539,85
50105.53590516746,181
50105.53597359359,83
50105.53601554036,114
50105.53601846099,285
50105.53605237603,150
50105.53610381484,178
50105.53614111245,104
50105.536164328456,73
50105.53617593646,158
50105.5362931788,42
50105.53630158305,87
50105.53630501032,327
50105.53639391065,78
50105.536433935165,27
50105.53645989299,123
50105.53648652136,95
50105.53660134971,378
50105.53666467965,119
50105.53668026626,87
50105.53668257594,434
50105.53676363826,155
50105.536933630705,132
50105.53693944216,143
50105.5369746238,52
50105.5371055305,116
50105.53711979091,73
50105.53717075288,88
50105.537222221494,208
50105.53722785413,72
50105.537350684404,73
50105.537356346846,43
50105.5374391526,158
50105.537456288934,80
50105.537514925,197
50105.53754852712,79
50105.53765529394,136
50105.53767237067,73
50105.537698954344,158
50105.53770275414,168
50105.537719875574,138
50105.53773330152,159
50105.53779646754,253
50105.53780853748,317
50105.537852182984,91
50105.53788243234,80
50105.537916734815,150
50105.53793102503,93
50105.53798918426,127
50105.53808799386,95
50105.53809583187,141
50105.53813627362,218
50105.53823146224,81
50105.53827179968,698
50105.538337633014,310
50105.538369208574,198
50105.538398236036,62
50105.53841230273,35
50105.538413748145,126
50105.538436725736,122
50105.53859038651,233
50105.53860500455,102
50105.538608416915,121
50105.53865277767,46
50105.53868764639,113
50105.538706064224,92
50105.53880494833,33
50105.538806691766,120
50105.538834005594,79
50105.53886988759,63
50105.53888228536,69
50105.53889337182,121
50105.53889448941,830
50105.538971051574,120
50105.53902705014,68
50105.539029449224,175
50105.53909428418,53
50105.5391792357,136
50105.53921370208,118
50105.539306372404,48
50105.53935660422,281
50105.539509922266,82
50105.539532095194,221
50105.53954349458,81
50105.53961524367,84
50105.539656475186,91
50105.53973218799,53
50105.539761826396,363
50105.53978656232,60
50105.53979770839,172
50105.539800062776,205
50105.53983208537,88
50105.53984260559,51
50105.53991496563,43
50105.53997939825,94
50105.540024891496,61
50105.54008209705,139
50105.54008901119,71
50105.54009568691,130
50105.5401211828,78
50105.540148958564,176
50105.54019922018,285
50105.54026187956,83
50105.540409222245,112
50105.54045188427,40
50105.54065833986,107
50105.54066582024,137
50105.540717974305,136
50105.540729910135,111
50105.54080192745,104
50105.54080617428,192
50105.54087741673,448
50105.541026592255,46
50105.54103818536,74
50105.54108212888,113
50105.54109959304,96
50105.541168659925,71
50105.541172891855,119
50105.54117587209,82
50105.541194438934,358
50105.54119838774,171
50105.54124303162,107
50105.54128225148,139
50105.54131574929,126
50105.54133036733,73
50105.54134435952,65
50105.54141654074,78
50105.54142612219,172
50105.54150170088,218
50105.541504487395,124
50105.54154346883,58
50105.54157328606,139
50105.541622936726,113
50105.541649743915,55
50105.54166969657,66
50105.54168316722,75
50105.541964262724,44
50105.54196538031,71
50105.542063221335,70
50105.54207479954,102
50105.54210963845,148
50105.542141631246,48
50105.542192578316,41
50105.54220685363,273
50105.54233251512,198
50105.54236535728,84
50105.54248961806,88
50105.54249288142,51
50105.542719990015,70
50105.542742431164,117
50105.542896553874,48
50105.54289846122,106
50105.542900756,317
50105.54290905595,119
50105.54291808605,54
50105.54302549362,102
50105.54306149483,258
50105.543142050505,154
50105.54322901368,83
50105.54332393408,96
50105.543359950185,45
50105.543364435434,269
50105.54343371093,184
50105.54348935187,140
50105.54358637333,175
50105.54366262257,82
50105.54368056357,48
50105.54369650781,195
50105.54370249808,49
50105.543742358685,297
50105.5438503325,136
50105.54391498864,105
50105.54395365715,48
50105.54401676357,420
50105.54403395951,148
50105.54405897856,76
50105.54414564371,147
50105.54422621429,298
50105.54426780343,103
50105.544280812144,86
50105.54442037642,273
50105.54448212683,64
50105.5445330143,79
50105.544566348195,112
50105.54474769533,215
50105.544747814536,96
50105.54475207627,77
50105.54477138817,93
50105.54486206174,117
50105.544879987836,78
50105.54491068423,94
50105.54492942989,112
50105.54499126971,490
50105.54501006007,143
50105.54501967132,126
50105.54512092471,182
50105.54518331587,91
50105.545254290104,48
50105.54528269172,46
50105.545364916325,130
50105.54548251629,270
50105.5455288142,65
50105.54556518793,279
50105.54563303292,71
50105.54571728408,372
50105.54577420652,105
50105.54582376778,56
50105.54589872062,56
50105.54599171877,123
50105.54601253569,107
50105.54602096975,146
50105.54604397714,85
50105.546098694205,181
50105.54615332186,194
50105.54617451131,106
50105.54622647166,205
50105.54631279409,55
50105.54639784992,100
50105.546439155936,120
50105.54650001228,72
50105.54652954638,191
50105.54653298855,58
50105.54657417536,146
50105.54663617909,562
50105.546711966395,163
50105.54673677683,173
50105.54673844576,74
50105.546794101596,99
50105.546874284744,47
50105.546878516674,60
50105.54690183699,229
50105.54694005847,227
50105.54711508751,212
50105.54714229703,75
50105.54717411101,40
50105.54727511108,43
50105.54746155441,67
50105.54747354984,206
50105.54747931659,117
50105.54751980305,133
50105.54763816297,90
50105.54774193466,70
50105.54777763784,403
50105.547778367996,113
50105.54778562486,54
50105.547897174954,110
50105.54797703028,522
50105.54798659682,239
50105.5480196923,252
50105.54802539945,208
50105.548057973385,121
50105.54812207818,107
50105.548264846206,44
50105.548300266266,362
50105.54830467701,108
50105.548529043794,172
50105.548567414284,93
50105.54859147966,344
50105.548592567444,231
50105.548613622785,107
50105.548647373915,82
50105.54866614938,242
50105.548672154546,169
50105.54875186086,82
50105.548778772354,64
50105.5488576442,46
50105.54893812537,56
50105.549031451344,64
50105.54908335209,180
50105.54921323061,87
50105.5492143482,113
50105.54926773906,152
50105.549296975136,268
50105.54931746423,119
50105.54938675463,112
50105.54938864708,55
50105.54939572513,95
50105.5494171679,112
50105.54948307574,385
50105.54961448908,289
50105.549619048834,125
50105.54965545237,101
50105.54972675443,254
50105.54978047311,50
50105.550044834614,116
50105.55007016659,51
50105.55008435249,259
50105.5501909256,53
50105.5503641665,300
50105.550453200936,98
50105.55046658218,75
50105.55047304928,118
50105.55056114495,155
50105.550693541765,136
50105.550737410784,78
50105.550777733326,38
50105.550822108984,131
50105.55087710917,39
50105.55096246302,150
50105.55097986758,49
50105.550980865955,582
50105.55106520653,71
50105.55108970404,84
50105.55115939677,177
50105.55116939545,145
50105.551178857684,440
50105.55118179321,74
50105.55122727156,212
50105.55130429566,111
50105.551420778036,201
50105.55144779384,117
50105.551513537765,105
50105.55156752467,82
50105.551579102874,172
50105.55160525441,87
50105.55179479718,228
50105.55181597173,184
50105.55188162625,310
50105.55189836025,122
50105.5519387424,95
50105.55194440484,78
50105.55204573274,60
50105.55207952857,315
50105.552101418376,43
50105.5521595031,268
50105.552188038826,136
50105.55219049752,67
50105.55222205818,210
50105.55223542452,44
50105.552241802216,242
50105.55224713683,99
50105.552346140146,125
50105.55235762894,77
50105.55237445235,107
50105.552399903536,51
50105.55250132084,158
50105.552592262626,463
50105.55284701288,137
50105.55286860466,116
50105.552999675274,55
50105.55316363275,176
50105.553215801716,517
50105.55337834358,198
50105.55340479314,101
50105.55340847373,92
50105.55344761908,162
50105.55345261097,73
50105.55349417031,62
50105.55361710489,172
50105.55367346108,79
50105.55371287465,105
50105.553781211376,163
50105.55388174951,190
50105.55390717089,56
50105.55391328037,261
50105.5539367944,147
50105.554023340344,158
50105.554026544094,66
50105.55406975746,87
50105.554070457816,97
50105.55410596728,52
50105.554113805294,212
50105.554179385304,65
50105.55427099764,70
50105.55431075394,148
50105.55434662104,146
50105.55440540612,198
50105.554432585835,165
50105.55445973575,51
50105.55449266732,100
50105.554641112685,74
50105.55466745794,254
50105.55468004942,182
50105.55472253263,61
50105.554723992944,137
50105.554729908705,115
50105.55473253131,655
50105.55484199524,198
50105.554847329855,390
50105.55487269163,101
50105.554922029376,131
50105.5549235791,135
50105.554968997836,181
50105.55499377847,225
50105.55502907932,102
50105.55504010618,54
50105.55507533252,80
50105.55508042872,154
50105.55513060093,345
50105.55524030328,49
50105.555250525475,224
50105.55525352061,106
50105.555316329,121
50105.55532421172,68
50105.55534119904,86
50105.5553625226,121
50105.55536581576,59
50105.55541692674,213
50105.55543628335,103
50105.55557979643,237
50105.55558748543,74
50105.555593028665,60
50105.55561135709,345
50105.55561712384,94
50105.555740982294,209
50105.55589091778,205
50105.55589522421,73
50105.55599847436,102
50105.55603890121,177
50105.55605381727,270
50105.55610591173,43
50105.556153953075,382
50105.55619056523,71
50105.55619418621,81
50105.55628168583,80
50105.556288808584,118
50105.556376338005,140
50105.55652219057,35
50105.55663573742,112
