TIME,lc1,lc2,lc3,lc4,lc5
9.9,7590.0005,7170.0005,1500.0001,1100.0001,390.00003
10.0,6990.0005,5710.0005,1050.0001,850.00006,270.00003
10.1,5780.0005,5180.0005,770.00006,630.00006,190.00002
10.2,5570.0005,4350.0005,890.00006,690.00006,260.00003
10.3,4270.0005,2970.0002,750.00006,440.00003,220.00002
10.4,5210.0005,3870.0002,770.00006,510.00003,250.00002
10.5,5650.0005,5530.0005,870.00006,860.00006,230.00002
10.6,6540.0005,5820.0005,1120.0001,970.00006,330.00003
10.7,6310.0005,4820.0005,1000.00006,660.00006,280.00003
10.8,5020.0005,3490.0002,690.00006,510.00003,130.00002
10.9,5480.0005,5460.0005,1010.00006,880.00006,180.00002
11.0,5400.0005,4590.0005,980.00006,600.00006,300.00003
11.1,6450.0005,5210.0005,970.00006,600.00006,140.00002
11.2,7290.0005,5820.0005,1200.0001,1000.00006,290.00003
11.3,7030.0005,5630.0005,1130.0001,900.00006,300.00003
11.4,7500.0005,6360.0005,1320.0001,860.00006,230.00002
11.5,7670.0005,6110.0005,1330.0001,880.00006,380.00003
11.6,7510.0005,6850.0005,1510.0001,810.00006,250.00002
11.7,8470.001,8200.001,1900.0001,1250.0001,370.00003
11.8,8710.001,7690.0005,1560.0001,670.00006,380.00003
11.9,6650.0005,5130.0005,870.00006,700.00006,280.00003
12.0,6850.0005,5450.0005,1160.0001,800.00006,270.00003
12.1,6860.0005,5150.0005,1200.0001,690.00006,340.00003
12.2,7400.0005,5930.0005,1080.0001,820.00006,300.00003
12.3,8350.001,8080.0005,1930.0001,1280.0001,370.00003
12.4,7540.0005,6880.0005,1500.0001,850.00006,390.00003
12.5,6910.0005,6020.0005,1260.0001,940.00006,280.00003
12.6,7070.0005,6720.0005,1340.0001,730.00006,260.00003
12.7,9480.001,9060.001,1850.0001,1340.0001,440.00003
12.8,9220.001,8180.0005,1450.0001,1160.0001,440.00003
12.9,6890.0005,5410.0005,820.00006,610.00006,230.00002
13.0,8120.0005,7460.0005,1120.0001,870.00006,320.00003
13.1,7390.0005,7400.0005,1360.0001,940.00006,420.00003
13.2,7420.0005,5900.0005,1470.0001,840.00006,260.00003
13.3,6530.0005,5590.0005,930.00006,830.00006,240.00002
13.4,6100.0005,4520.0005,720.00006,550.00006,260.00003
13.5,5380.0005,4250.0005,880.00006,570.00006,180.00002
13.6,5390.0005,3940.0002,800.00006,570.00006,130.00002
13.7,5510.0005,4370.0005,840.00006,670.00006,150.00002
13.8,5890.0005,4660.0005,1100.0001,730.00006,270.00003
13.9,7400.0005,6690.0005,1180.0001,890.00006,350.00003
14.0,6510.0005,6240.0005,1280.0001,990.00006,140.00002
14.1,7360.0005,6870.0005,1620.0001,1080.0001,300.00003
14.2,6950.0005,5040.0005,1110.0001,590.00006,190.00002
14.3,6430.0005,5010.0005,960.00006,790.00006,230.00002
14.4,6320.0005,4840.0005,1000.00006,670.00006,120.00001
14.5,6270.0005,4960.0005,870.00006,620.00006,260.00003
14.6,7510.0005,5660.0005,1190.0001,670.00006,250.00002
14.7,7090.0005,5630.0005,1110.0001,640.00006,200.00002
14.8,6690.0005,5920.0005,1260.0001,820.00006,240.00002
14.9,6960.0005,5800.0005,1490.0001,980.00006,340.00003
15.0,6290.0005,5350.0005,1070.0001,780.00006,250.00002
15.1,6090.0005,5040.0005,940.00006,570.00006,210.00002
15.2,7250.0005,5360.0005,1200.0001,650.00006,230.00002
15.3,7680.0005,6900.0005,1410.0001,910.00006,360.00003
15.4,8070.0005,7360.0005,1580.0001,1090.0001,430.00003
15.5,7600.0005,5740.0005,1450.0001,850.00006,270.00003
15.6,7270.0005,6200.0005,1090.0001,710.00006,220.00002
15.7,7750.0005,6400.0005,1230.0001,650.00006,270.00003
15.8,8940.001,7550.0005,1520.0001,940.00006,330.00003
15.9,9880.001,9090.001,1790.0001,1270.0001,430.00003
16.0,10010.001,8970.001,1790.0001,950.00006,430.00003
16.1,9500.001,7860.0005,1770.0001,1130.0001,420.00003
16.2,9630.001,7890.0005,1730.0001,1210.0001,360.00003
16.3,8570.001,7770.0005,1390.0001,1100.0001,260.00003
16.4,9080.001,7990.0005,1470.0001,1090.0001,270.00003
16.5,9590.001,7860.0005,1720.0001,1030.0001,370.00003
16.6,10540.001,9580.001,2190.0002,1210.0001,400.00003
16.7,10530.001,9580.001,2110.0002,1430.0001,510.00003
16.8,8770.001,7880.0005,1630.0001,960.00006,290.00003
16.9,8490.001,7130.0005,1220.0001,1070.0001,350.00003
17.0,8490.001,7710.0005,1740.0001,950.00006,310.00003
17.1,10220.001,10590.001,2290.0002,1520.0001,440.00003
17.2,10780.001,8910.001,1860.0001,1280.0001,480.00003
17.3,8690.001,8410.001,1700.0001,1190.0001,520.00006
17.4,9090.001,7440.0005,1500.0001,880.00006,300.00003
17.5,8800.001,7200.0005,1410.0001,910.00006,340.00003
17.6,9570.001,8640.001,1670.0001,940.00006,310.00003
17.7,9990.001,8640.001,1570.0001,950.00006,380.00003
17.8,10120.001,9330.001,1620.0001,1170.0001,440.00003
17.9,11000.001,10440.001,1860.0001,1360.0001,440.00003
18.0,11270.001,10530.001,2310.0002,1220.0001,500.00003
18.1,10610.001,9320.001,1780.0001,1350.0001,390.00003
18.2,10300.001,8950.001,1910.0001,990.00006,440.00003
18.3,11130.001,8900.001,1910.0001,1290.0001,360.00003
18.4,10140.001,9440.001,1880.0001,1210.0001,480.00003
18.5,9690.001,8030.0005,1670.0001,1220.0001,370.00003
18.6,9600.001,8630.001,1730.0001,1110.0001,550.00006
18.7,9160.001,8070.0005,1630.0001,970.00006,400.00003
18.8,10920.001,10580.001,2200.0002,1410.0001,470.00003
18.9,12330.001,10790.001,2510.0002,1810.0001,450.00003
19.0,11830.001,11250.001,2450.0002,1830.0001,600.00006
19.1,11110.001,9250.001,2380.0002,1340.0001,530.00006
19.2,11600.001,11600.001,2330.0002,1460.0001,610.00006
19.3,12890.001,12730.001,2370.0002,1950.0001,760.00006
19.4,12830.001,12250.001,2610.0002,1800.0001,570.00006
19.5,12680.001,13010.001,2700.0002,2000.0001,730.00006
19.6,11990.001,11470.001,2660.0002,1930.0001,710.00006
19.7,10530.001,10010.001,2480.0002,1760.0001,680.00006
19.8,9470.001,9370.001,2230.0002,1520.0001,660.00006
19.9,8670.001,8860.001,1890.0001,1460.0001,530.00006
20.0,7780.0005,7840.0005,1430.0001,1060.0001,420.00003
20.1,9750.001,10510.001,2340.0002,1790.0001,790.00006
20.2,7700.0005,8600.001,1910.0001,1300.0001,500.00003
20.3,6830.0005,6060.0005,1340.0001,1030.0001,390.00003
20.4,7440.0005,7430.0005,1610.0001,1080.0001,350.00003
20.5,8540.001,9030.001,1820.0001,1180.0001,390.00003
20.6,7760.0005,6440.0005,1570.0001,980.00006,470.00003
20.7,8470.001,8910.001,2170.0002,1250.0001,370.00003
