TIME,PI
50111.533579453826,48
50111.53377908468,192
50111.5337973088,151
50111.53381703794,44
50111.53386935592,62
50111.533879205585,45
50111.53394411504,88
50111.53411397338,168
50111.53412373364,34
50111.53414615989,113
50111.53415970504,152
50111.534393012524,88
50111.534455507994,458
50111.53446722031,160
50111.53451499343,81
50111.53466933966,134
50111.534704998136,65
50111.534710749984,555
50111.53494656086,216
50111.535000666976,66
50111.535006806254,207
50111.535169273615,201
50111.53521904349,132
50111.53535051644,118
50111.535439655185,58
50111.53555943072,64
50111.53577238321,81
50111.53588758409,117
50111.53593723476,101
50111.53598937392,49
50111.5360352844,104
50111.53611280024,96
50111.5362162292,189
50111.53622959554,298
50111.53629472852,54
50111.53646939993,47
50111.53649559617,42
50111.536619633436,209
50111.53662993014,207
50111.53666704893,57
50111.536727651954,82
50111.53680117428,68
50111.536821976304,535
50111.53682869673,151
50111.53686463833,47
50111.5369143337,426
50111.53691846132,105
50111.53712396324,74
50111.537200793624,56
50111.53721216321,343
50111.537401646376,196
50111.537503674626,65
50111.537646487355,83
50111.537690237164,465
50111.5376945436,54
50111.53784093261,109
50111.53789590299,120
50111.5378973335,192
50111.53791718185,112
50111.53792180121,121
50111.53798444569,68
50111.53802904487,67
50111.53805887699,76
50111.538219839334,162
50111.53824290633,128
50111.53824417293,93
50111.538277864456,332
50111.53832772374,132
50111.53832958639,150
50111.53841879964,468
50111.53850442171,79
50111.53851078451,59
50111.53858730197,202
50111.538600191474,397
50111.538613051176,103
50111.53865727782,90
50111.5387159884,245
50111.53877606988,119
50111.53881590068,47
50111.53881858289,47
50111.53884883225,231
50111.53898636997,126
50111.53906881809,381
50111.53911335766,147
50111.53919638693,88
50111.53920213878,205
50111.53922659159,50
50111.539295345545,115
50111.53935357928,213
50111.539388135076,120
50111.539502352476,99
50111.53957659006,380
50111.53962957859,395
50111.53969037533,188
50111.53981153667,179
50111.53985649347,220
50111.53996387124,227
50111.54001258314,115
50111.54006657004,289
50111.54015380144,98
50111.54043650627,179
50111.54052591324,97
50111.54056966305,129
50111.54057662189,82
50111.540935754776,46
50111.541103988886,43
50111.541228085756,91
50111.541283249855,48
50111.5412838161,256
50111.541315838695,87
50111.54135926068,94
50111.541414901614,101
50111.54142074287,27
50111.541473701596,264
50111.54153162241,261
50111.54159024358,175
50111.54164147377,266
50111.54173101485,32
50111.541751757264,46
50111.54180109501,179
50111.541802585125,37
50111.54204291105,42
50111.54206007719,91
50111.542062446475,36
50111.542133554816,394
50111.54221300781,100
50111.5422257036,65
50111.54222612083,157
50111.54225568473,102
50111.542285472155,82
50111.54238213599,108
50111.54243807495,117
50111.54246203601,174
50111.54246594012,75
50111.54260338843,133
50111.54260978103,149
50111.542658388615,82
50111.542743489146,60
50111.542750015855,84
50111.54279175401,439
50111.54288432002,94
50111.542988955975,75
50111.542993575335,57
50111.5431894362,41
50111.54327952862,92
50111.54328945279,160
50111.5433716625,125
50111.54349407554,250
50111.543543338776,54
50111.54354926944,167
50111.543633803725,110
50111.54368506372,598
50111.543723747134,116
50111.54382263124,82
50111.54389926791,132
50111.543962314725,377
50111.54397314787,322
50111.54403714836,175
50111.54410877824,80
50111.544132351875,137
50111.54415664077,52
50111.54423379898,295
50111.54426768422,98
50111.544293150306,42
50111.54437364638,47
50111.54445014894,100
50111.54466985166,58
50111.54468841851,49
50111.54471074045,71
50111.54475787282,123
50111.54487623274,135
50111.54489710927,70
50111.54491071403,307
50111.54492662847,180
50111.54499061406,67
50111.54508924484,85
50111.54514230788,136
50111.54522360861,120
50111.545322328806,161
50111.54534582794,133
50111.54541040957,100
50111.54543246329,631
50111.54544919729,83
50111.54548218846,266
50111.545545205474,49
50111.54555758834,551
50111.5456494838,246
50111.545719742775,145
50111.54595144093,185
50111.54604278505,96
50111.546070843935,128
50111.5460793376,73
50111.54616257548,87
50111.54621759057,268
50111.54636067152,89
50111.54645776749,33
50111.546497926116,507
50111.54650706053,104
50111.546605050564,75
50111.5466144979,189
50111.546622127295,185
50111.54665675759,304
50111.54677592218,55
50111.546849012375,79
50111.54702436924,50
50111.5470892936,74
50111.54712045193,130
50111.547172412276,39
50111.54725971818,148
50111.54738415778,311
50111.5474999249,95
50111.547546997666,67
50111.5476372689,49
50111.54765380919,195
50111.54771378636,330
50111.54783606529,58
50111.54793317616,126
50111.547936186194,79
50111.548169612885,44
50111.548261389136,152
50111.54834136367,115
50111.54862421751,118
50111.54867039621,93
50111.54869295657,108
50111.54877907038,279
50111.54879774153,195
50111.548953041434,124
50111.54909168184,241
50111.54911957681,105
50111.54912920296,92
50111.54924298823,529
50111.54932758212,92
50111.54944102466,102
50111.549621999264,192
50111.54970794916,539
50111.54972022772,44
50111.549760997295,179
50111.54979091883,288
50111.54980261624,91
50111.549831330776,46
50111.54989165068,53
50111.54990299046,155
50111.54997076094,95
50111.55000241101,362
50111.55000273883,28
50111.55010971427,68
50111.550148785114,84
50111.550187304616,92
50111.55019596219,273
50111.550248384476,374
50111.55028864741,120
50111.550452798605,92
50111.55052550137,112
50111.55054196715,241
50111.5505425185,141
50111.55056361854,112
50111.5505836159,84
50111.55060043931,70
50111.55060105026,46
50111.55093450844,42
50111.551060691476,40
50111.55122667551,191
50111.55122950673,135
50111.5512368083,76
50111.55130086839,64
50111.551333367825,37
50111.55134163797,49
50111.55148950219,28
50111.55154487491,77
50111.55157403648,358
50111.55165666342,48
50111.551818966866,42
50111.551833093166,96
50111.551887750626,47
50111.55192941427,68
50111.55201013386,66
50111.552094101906,82
50111.55246295035,871
50111.55255006254,123
50111.552585452795,102
50111.55263581872,60
50111.55279700458,76
50111.552846580744,59
50111.552861481905,358
50111.552862122655,94
50111.5529564172,141
50111.55299992859,182
50111.55312113464,110
50111.55313779414,57
50111.55316494405,114
50111.55317275226,129
50111.553246974945,45
50111.55334505439,51
50111.55336596072,139
50111.55337244272,190
50111.553465515375,79
50111.55348572135,212
50111.553555458784,138
50111.553613975644,94
50111.55371789634,77
50111.553853303194,88
50111.55386976898,65
50111.553907349706,102
50111.55391147733,94
50111.55391970277,79
50111.55403198302,59
50111.55403634906,158
50111.5542293638,105
50111.55439001322,125
50111.55441313982,53
50111.5544398278,156
50111.55446344614,137
50111.55462087691,68
50111.554878011346,138
50111.5549004823,107
50111.554901629686,88
50111.555016592145,213
50111.555149555206,55
50111.55520051718,108
50111.55520066619,178
50111.555201753974,66
50111.55544678867,79
50111.55548018217,51
50111.555559933186,92
50111.555589452386,120
50111.555613324046,71
50111.55573411286,94
50111.55579984188,137
50111.55585001409,99
50111.555895611644,57
50111.55605137348,92
50111.556121349335,94
50111.55619998276,157
50111.556204378605,39
50111.55632342398,36
50111.55635972321,126
50111.55636809766,103
50111.556518390775,31
50111.5565238893,386
50111.55654630065,70
50111.55654923618,67
50111.556732714176,902
50111.556888237596,123
50111.55690036714,60
50111.55696186423,44
50111.55701595545,59
50111.557222768664,75
50111.55731245875,83
50111.557343661785,85
50111.55738966167,158
50111.55740901828,90
50111.55755521357,269
50111.55759306252,70
50111.557749435306,97
50111.557831570506,92
50111.5578353256,57
50111.55784776807,140
50111.557862490416,119
50111.55787874758,86
50111.55788072944,81
50111.55802120268,99
50111.55805692077,150
50111.558088332415,86
50111.55816856027,37
50111.55822660029,63
50111.55823212862,202
50111.55827701092,115
50111.558279544115,103
50111.55847676098,109
50111.55852770805,186
50111.55853813887,83
50111.558711230755,327
50111.55874580145,234
50111.558788239956,80
50111.5589851737,307
50111.55900029838,76
50111.55901132524,88
50111.55918170512,84
50111.55923038721,96
50111.5592559576,95
50111.559396624565,149
50111.55944938958,116
50111.55949006975,60
50111.55949765444,288
50111.5596216619,92
50111.5596357137,155
50111.55964894593,129
50111.55965721607,115
50111.55980737507,130
50111.5598937124,76
50111.55996452272,64
50111.56015428901,32
50111.56016263366,155
50111.56024470925,251
50111.560338020325,109
50111.560591802,150
50111.56059862673,64
50111.56061001122,132
50111.56064289808,75
50111.560769066215,152
50111.56099316478,317
50111.56099662185,83
50111.561004176736,339
50111.56110431254,61
50111.56118994951,49
50111.56137494743,72
50111.56144207716,126
50111.56152819097,260
50111.56162470579,146
50111.56175105274,105
50111.56175825,41
50111.56180663407,55
50111.56185337901,218
50111.56199763715,72
50111.56212478876,268
50111.56221590936,175
50111.56228275597,113
50111.56229175627,178
50111.56233938038,385
50111.562505587935,54
50111.562577813864,43
50111.56261211634,124
50111.562678560615,52
50111.56289567053,103
50111.562984108925,52
50111.56315755844,44
50111.563174813986,422
50111.56325235963,121
50111.563268110156,73
50111.5633649379,256
50111.56343309581,101
50111.56387248635,173
50111.56390246749,73
50111.563932955265,62
50111.56400451064,81
50111.56436082721,83
50111.564448431134,177
50111.56447599828,365
50111.56450949609,84
50111.56452143192,122
50111.5645250082,61
50111.56453189254,50
50111.56455928087,346
50111.564733460546,161
50111.564871534705,211
50111.56496718526,455
50111.5649843514,115
50111.56503504515,110
50111.56510537863,49
50111.565134331584,74
50111.565359681845,41
50111.56543304026,39
50111.56557482481,163
50111.56569929421,100
50111.5657004863,72
50111.56575682759,108
50111.565824210644,121
50111.565953433514,79
50111.56601920724,190
50111.56602944434,66
50111.566039174795,92
50111.566094219685,137
50111.56621104479,77
50111.56626357138,331
50111.56626704335,70
50111.56629152596,88
50111.56640918553,172
50111.566478699446,49
50111.566519379616,102
50111.566537961364,56
50111.56659975648,46
50111.56659986079,159
50111.56667032838,84
50111.56675721705,110
50111.56677721441,88
50111.56681230664,161
50111.566825672984,58
50111.56711798906,93
50111.56723625958,334
