TIME,RATE,ERROR,FRACEXP
0.0,310.00003,55.677647,0.99999994
0.09999999403953552,310.00003,55.677647,0.99999994
0.20000000298023224,370.00003,60.82763,0.99999994
0.29999999701976776,470.00003,68.55655,0.99999994
0.4000000059604645,410.00003,64.03125,0.99999994
0.5,400.00003,63.245556,0.99999994
0.5999999940395355,390.00003,62.44998,0.99999994
0.7000000029802322,420.00003,64.80741,0.99999994
0.7999999970197678,510.00003,71.41429,0.99999994
0.9000000059604645,510.00003,71.41429,0.99999994
1.0,280.00003,52.915028,0.99999994
1.0999999940395355,510.00003,71.41429,0.99999994
1.2000000029802322,300.00003,54.772263,0.99999994
1.2999999970197678,300.00003,54.772263,0.99999994
1.4000000059604645,430.00003,65.57439,0.99999994
1.5,330.00003,57.44563,0.99999994
1.5999999940395355,320.00003,56.568546,0.99999994
1.7000000029802322,450.00003,67.08204,0.99999994
1.7999999970197678,450.00003,67.08204,0.99999994
1.9000000059604645,410.00003,64.03125,0.99999994
2.0,450.00003,67.08204,0.99999994
2.0999999940395355,350.00003,59.160805,0.99999994
2.2000000029802322,290.00003,53.85165,0.99999994
2.2999999970197678,440.00003,66.332504,0.99999994
2.4000000059604645,240.00002,48.9898,0.99999994
2.5,390.00003,62.44998,0.99999994
2.5999999940395355,330.00003,57.44563,0.99999994
2.7000000029802322,350.00003,59.160805,0.99999994
2.7999999970197678,400.00003,63.245556,0.99999994
2.9000000059604645,390.00003,62.44998,0.99999994
3.0,430.00003,65.57439,0.99999994
3.0999999940395355,390.00003,62.44998,0.99999994
3.2000000029802322,350.00003,59.160805,0.99999994
3.2999999970197678,370.00003,60.82763,0.99999994
3.4000000059604645,330.00003,57.44563,0.99999994
3.5,350.00003,59.160805,0.99999994
3.5999999940395355,520.00006,72.11103,0.99999994
3.7000000029802322,490.00003,70.00001,0.99999994
3.7999999970197678,350.00003,59.160805,0.99999994
3.9000000059604645,320.00003,56.568546,0.99999994
4.0,350.00003,59.160805,0.99999994
4.0999999940395355,480.00003,69.282036,0.99999994
4.200000002980232,440.00003,66.332504,0.99999994
4.299999997019768,530.00006,72.8011,0.99999994
4.4000000059604645,360.00003,60.000004,0.99999994
4.5,310.00003,55.677647,0.99999994
4.5999999940395355,420.00003,64.80741,0.99999994
4.700000002980232,310.00003,55.677647,0.99999994
4.799999997019768,300.00003,54.772263,0.99999994
4.9000000059604645,220.00002,46.90416,0.99999994
5.0,370.00003,60.82763,0.99999994
5.0999999940395355,290.00003,53.85165,0.99999994
5.200000002980232,470.00003,68.55655,0.99999994
5.299999997019768,320.00003,56.568546,0.99999994
5.4000000059604645,230.00002,47.95832,0.99999994
5.5,250.00002,50.000004,0.99999994
5.5999999940395355,340.00003,58.30952,0.99999994
5.700000002980232,340.00003,58.30952,0.99999994
5.799999997019768,240.00002,48.9898,0.99999994
5.9000000059604645,360.00003,60.000004,0.99999994
6.0,550.00006,74.16199,0.99999994
6.0999999940395355,500.00003,70.710686,0.99999994
6.200000002980232,450.00003,67.08204,0.99999994
6.299999997019768,230.00002,47.95832,0.99999994
6.4000000059604645,190.00002,43.588993,0.99999994
6.5,290.00003,53.85165,0.99999994
6.5999999940395355,260.00003,50.9902,0.99999994
6.700000002980232,210.00002,45.82576,0.99999994
6.799999997019768,420.00003,64.80741,0.99999994
6.9000000059604645,240.00002,48.9898,0.99999994
7.0,340.00003,58.30952,0.99999994
7.0999999940395355,210.00002,45.82576,0.99999994
7.200000002980232,210.00002,45.82576,0.99999994
7.299999997019768,270.00003,51.961525,0.99999994
7.4000000059604645,240.00002,48.9898,0.99999994
7.5,250.00002,50.000004,0.99999994
7.5999999940395355,520.00006,72.11103,0.99999994
7.700000002980232,290.00003,53.85165,0.99999994
7.799999997019768,460.00003,67.8233,0.99999994
7.9000000059604645,280.00003,52.915028,0.99999994
8.0,270.00003,51.961525,0.99999994
8.099999994039536,280.00003,52.915028,0.99999994
8.200000002980232,330.00003,57.44563,0.99999994
8.299999997019768,380.00003,61.644142,0.99999994
8.400000005960464,340.00003,58.30952,0.99999994
8.5,250.00002,50.000004,0.99999994
8.599999994039536,390.00003,62.44998,0.99999994
8.700000002980232,230.00002,47.95832,0.99999994
8.799999997019768,330.00003,57.44563,0.99999994
8.900000005960464,290.00003,53.85165,0.99999994
9.0,230.00002,47.95832,0.99999994
9.099999994039536,210.00002,45.82576,0.99999994
9.200000002980232,220.00002,46.90416,0.99999994
9.299999997019768,350.00003,59.160805,0.99999994
9.400000005960464,340.00003,58.30952,0.99999994
9.5,310.00003,55.677647,0.99999994
9.599999994039536,400.00003,63.245556,0.99999994
9.700000002980232,330.00003,57.44563,0.99999994
9.799999997019768,280.00003,52.915028,0.99999994
9.900000005960464,390.00003,62.44998,0.99999994
10.0,270.00003,51.961525,0.99999994
10.099999994039536,190.00002,43.588993,0.99999994
10.200000002980232,260.00003,50.9902,0.99999994
10.299999997019768,220.00002,46.90416,0.99999994
10.400000005960464,250.00002,50.000004,0.99999994
10.5,230.00002,47.95832,0.99999994
10.599999994039536,330.00003,57.44563,0.99999994
10.700000002980232,280.00003,52.915028,0.99999994
10.799999997019768,130.00002,36.055515,0.99999994
10.900000005960464,180.00002,42.426407,0.99999994
11.0,300.00003,54.772263,0.99999994
11.099999994039536,140.00002,37.416576,0.99999994
11.200000002980232,290.00003,53.85165,0.99999994
11.299999997019768,300.00003,54.772263,0.99999994
11.400000005960464,230.00002,47.95832,0.99999994
11.5,380.00003,61.644142,0.99999994
11.599999994039536,250.00002,50.000004,0.99999994
