TIME,RATE,ERROR,FRACEXP
133089420.87426995,2570.0002,160.31221,0.99999994
133089420.97426994,2120.0002,145.6022,0.99999994
133089421.07426994,3100.0002,176.06818,0.99999994
133089421.17426994,3620.0002,190.263,0.99999994
133089421.27426994,3810.0002,195.19221,0.99999994
133089421.37426995,2810.0002,167.63055,0.99999994
133089421.47426994,1960.0001,140.00002,0.99999994
133089421.57426994,2520.0002,158.74509,0.99999994
133089421.67426994,2350.0002,153.2971,0.99999994
133089421.77426994,2160.0002,146.96939,0.99999994
133089421.87426995,2440.0002,156.205,0.99999994
133089421.97426994,2110.0002,145.25839,0.99999994
133089422.07426994,2980.0002,172.62677,0.99999994
133089422.17426994,2870.0002,169.41075,0.99999994
133089422.27426994,2060.0002,143.52701,0.99999994
133089422.37426995,2540.0002,159.37378,0.99999994
133089422.47426994,2700.0002,164.31677,0.99999994
133089422.57426994,2770.0002,166.43317,0.99999994
133089422.67426994,2400.0002,154.91934,0.99999994
133089422.77426994,1830.0001,135.2775,0.99999994
133089422.87426995,3110.0002,176.35194,0.99999994
133089422.97426994,4060.0002,201.49442,0.99999994
133089423.07426994,3990.0002,199.74986,0.99999994
133089423.17426994,2740.0002,165.52946,0.99999994
133089423.27426994,1740.0001,131.90906,0.99999994
133089423.37426995,1530.0001,123.69318,0.99999994
133089423.47426994,1640.0001,128.0625,0.99999994
133089423.57426994,1780.0001,133.41666,0.99999994
133089423.67426994,1850.0001,136.01472,0.99999994
133089423.77426994,2750.0002,165.83125,0.99999994
133089423.87426995,2250.0002,150.00002,0.99999994
133089423.97426994,2020.0001,142.12671,0.99999994
133089424.07426994,2200.0002,148.32397,0.99999994
133089424.17426994,1470.0001,121.24356,0.99999994
133089424.27426994,2010.0001,141.77448,0.99999994
133089424.37426995,1850.0001,136.01472,0.99999994
133089424.47426994,1770.0001,133.04135,0.99999994
133089424.57426994,2810.0002,167.63055,0.99999994
133089424.67426994,2550.0002,159.68721,0.99999994
133089424.77426994,3470.0002,186.27936,0.99999994
133089424.87426995,2030.0001,142.47807,0.99999994
133089424.97426994,2410.0002,155.24176,0.99999994
133089425.07426994,2210.0002,148.66069,0.99999994
133089425.17426994,2270.0002,150.66519,0.99999994
133089425.27426994,2950.0002,171.75565,0.99999994
133089425.37426995,2420.0002,155.56349,0.99999994
133089425.47426994,2640.0002,162.48079,0.99999994
133089425.57426994,2390.0002,154.59627,0.99999994
133089425.67426994,1730.0001,131.52948,0.99999994
133089425.77426994,2860.0002,169.11536,0.99999994
133089425.87426995,2520.0002,158.74509,0.99999994
133089425.97426994,2050.0002,143.17822,0.99999994
133089426.07426994,2180.0002,147.64824,0.99999994
133089426.17426994,1740.0001,131.90906,0.99999994
133089426.27426994,2170.0002,147.3092,0.99999994
133089426.37426995,2000.0001,141.42137,0.99999994
133089426.47426994,2070.0002,143.87495,0.99999994
133089426.57426994,2430.0002,155.88458,0.99999994
133089426.67426994,2580.0002,160.6238,0.99999994
133089426.77426994,1770.0001,133.04135,0.99999994
