time,band1,band2,band3,band4,band5
9.9,7460.0005,7170.0005,1520.0001,1090.0001,390.00003
10.0,6870.0005,5710.0005,1040.0001,840.00006,270.00003
10.1,5660.0005,5190.0005,760.00006,630.00006,190.00002
10.2,5420.0005,4360.0005,890.00006,690.00006,260.00003
10.3,4100.0005,2980.0002,750.00006,440.00003,220.00002
10.4,5040.0005,3870.0002,770.00006,510.00003,250.00002
10.5,5510.0005,5540.0005,870.00006,850.00006,230.00002
10.6,6420.0005,5810.0005,1120.0001,970.00006,330.00003
10.7,6170.0005,4810.0005,1000.00006,660.00006,280.00003
10.8,4890.0005,3500.0002,690.00006,510.00003,130.00002
10.9,5310.0005,5460.0005,1010.00006,880.00006,180.00002
11.0,5310.0005,4600.0005,980.00006,600.00006,300.00003
11.1,6290.0005,5210.0005,970.00006,590.00006,140.00002
11.2,7150.0005,5830.0005,1200.0001,990.00006,290.00003
11.3,6890.0005,5640.0005,1130.0001,900.00006,300.00003
11.4,7310.0005,6360.0005,1320.0001,860.00006,230.00002
11.5,7480.0005,6100.0005,1340.0001,840.00006,380.00003
11.6,7380.0005,6840.0005,1510.0001,790.00006,250.00002
11.7,8390.001,8190.0005,1900.0001,1240.0001,370.00003
11.8,8510.001,7680.0005,1570.0001,670.00006,380.00003
11.9,6470.0005,5130.0005,870.00006,700.00006,280.00003
12.0,6730.0005,5440.0005,1170.0001,800.00006,270.00003
12.1,6730.0005,5130.0005,1190.0001,690.00006,340.00003
12.2,7240.0005,5920.0005,1080.0001,800.00006,300.00003
12.3,8190.0005,8080.0005,1930.0001,1240.0001,370.00003
12.4,7410.0005,6880.0005,1510.0001,840.00006,390.00003
12.5,6780.0005,6020.0005,1260.0001,940.00006,280.00003
12.6,6910.0005,6710.0005,1350.0001,730.00006,260.00003
12.7,9260.001,9090.001,1840.0001,1300.0001,440.00003
12.8,9030.001,8180.0005,1450.0001,1150.0001,440.00003
12.9,6710.0005,5410.0005,820.00006,610.00006,230.00002
13.0,7940.0005,7460.0005,1120.0001,860.00006,320.00003
13.1,7200.0005,7400.0005,1360.0001,940.00006,420.00003
13.2,7260.0005,5900.0005,1470.0001,840.00006,260.00003
13.3,6430.0005,5600.0005,920.00006,820.00006,250.00002
13.4,6000.0005,4530.0005,720.00006,540.00006,260.00003
13.5,5240.0005,4240.0005,880.00006,570.00006,180.00002
13.6,5300.0005,3940.0002,800.00006,570.00006,130.00002
13.7,5400.0005,4370.0005,840.00006,670.00006,150.00002
13.8,5750.0005,4660.0005,1100.0001,730.00006,270.00003
13.9,7280.0005,6690.0005,1180.0001,880.00006,350.00003
14.0,6350.0005,6240.0005,1280.0001,980.00006,140.00002
14.1,7190.0005,6870.0005,1620.0001,1070.0001,300.00003
14.2,6800.0005,5030.0005,1110.0001,580.00006,190.00002
14.3,6210.0005,5030.0005,970.00006,780.00006,230.00002
14.4,6150.0005,4840.0005,1010.00006,640.00006,120.00001
14.5,6110.0005,4990.0005,850.00006,620.00006,260.00003
14.6,7420.0005,5650.0005,1190.0001,670.00006,250.00002
14.7,6990.0005,5630.0005,1110.0001,640.00006,200.00002
14.8,6590.0005,5910.0005,1260.0001,810.00006,240.00002
14.9,6770.0005,5800.0005,1470.0001,980.00006,340.00003
15.0,6170.0005,5360.0005,1070.0001,770.00006,250.00002
15.1,5960.0005,5040.0005,940.00006,570.00006,210.00002
15.2,7060.0005,5350.0005,1200.0001,650.00006,230.00002
15.3,7510.0005,6890.0005,1410.0001,910.00006,360.00003
15.4,7900.0005,7350.0005,1580.0001,1090.0001,430.00003
15.5,7380.0005,5750.0005,1450.0001,850.00006,270.00003
15.6,7030.0005,6190.0005,1090.0001,710.00006,220.00002
15.7,7570.0005,6400.0005,1230.0001,640.00006,270.00003
15.8,8700.001,7550.0005,1530.0001,930.00006,330.00003
15.9,9630.001,9110.001,1770.0001,1260.0001,430.00003
16.0,9800.001,8980.001,1790.0001,940.00006,430.00003
16.1,9320.001,7850.0005,1760.0001,1120.0001,420.00003
16.2,9440.001,7900.0005,1710.0001,1210.0001,360.00003
16.3,8390.001,7780.0005,1390.0001,1090.0001,260.00003
16.4,8880.001,7980.0005,1470.0001,1080.0001,270.00003
16.5,9390.001,7840.0005,1710.0001,1030.0001,370.00003
16.6,10250.001,9580.001,2190.0002,1190.0001,400.00003
16.7,10370.001,9580.001,2110.0002,1420.0001,510.00003
16.8,8530.001,7880.0005,1630.0001,950.00006,290.00003
16.9,8250.001,7130.0005,1220.0001,1060.0001,350.00003
17.0,8330.001,7720.0005,1730.0001,940.00006,310.00003
17.1,10030.001,10590.001,2290.0002,1490.0001,440.00003
